年齢,学歴,職業,人種,性別,週労働時間,出身国,収入
31, Bachelors, Sales, Black, Female,40, United-States, <=50K
29, Bachelors, Sales, White, Male,70, United-States, >50K
23, Some-college, Machine-op-inspct, White, Male,40, United-States, <=50K
79, Some-college, Prof-specialty, White, Male,20, United-States, <=50K
27, HS-grad, Other-service, White, Male,40, Mexico, <=50K
40, Assoc-acdm, Adm-clerical, White, Male,40, United-States, <=50K
18, 11th, Other-service, White, Female,22, United-States, <=50K
31, 7th-8th, Farming-fishing, White, Male,40, United-States, <=50K
18, HS-grad, Sales, White, Male,30, United-States, <=50K
52, Bachelors, Other-service, White, Male,40, Cuba, <=50K
46, HS-grad, Other-service, White, Female,40, United-States, <=50K
59, HS-grad, Sales, White, Male,48, United-States, <=50K
44, HS-grad, Craft-repair, White, Female,40, United-States, >50K
53, HS-grad, Sales, White, Female,35, United-States, <=50K
49, HS-grad, Protective-serv, White, Male,40, United-States, >50K
33, Masters, Prof-specialty, White, Male,50, United-States, <=50K
30, 9th, Sales, White, Male,40, United-States, <=50K
43, Doctorate, Prof-specialty, White, Female,50, United-States, >50K
57, Assoc-voc, Prof-specialty, White, Male,40, United-States, <=50K
37, Some-college, Craft-repair, White, Female,40, United-States, <=50K
28, Some-college, Machine-op-inspct, Black, Female,25, United-States, <=50K
34, Bachelors, Protective-serv, White, Male,40, United-States, >50K
29, Some-college, Handlers-cleaners, White, Male,50, United-States, <=50K
48, Doctorate, Prof-specialty, White, Male,60, United-States, >50K
37, Some-college, Sales, White, Male,48, United-States, >50K
48, Assoc-acdm, Exec-managerial, White, Female,40, England, <=50K
32, HS-grad, Other-service, Black, Male,40, United-States, <=50K
76, Masters, Exec-managerial, White, Male,40, United-States, >50K
44, Bachelors, Exec-managerial, White, Male,60, United-States, >50K
47, Masters, Prof-specialty, White, Female,50, United-States, <=50K
20, Some-college, Tech-support, White, Female,40, United-States, <=50K
29, HS-grad, Craft-repair, White, Male,40, United-States, <=50K
32, HS-grad, Craft-repair, White, Male,40, United-States, >50K
30, 11th, Handlers-cleaners, White, Male,40, United-States, <=50K
31, HS-grad, Adm-clerical, White, Female,40, United-States, <=50K
42, HS-grad, Handlers-cleaners, White, Male,40, United-States, <=50K
24, Bachelors, Sales, White, Male,40, United-States, <=50K
38, Prof-school, Prof-specialty, White, Male,40, United-States, >50K
56, HS-grad, Other-service, White, Male,50, Canada, >50K
28, Some-college, Sales, White, Female,25, United-States, <=50K
36, HS-grad, Machine-op-inspct, White, Female,40, United-States, <=50K
53, 9th, Handlers-cleaners, White, Male,50, United-States, <=50K
56, Some-college, Sales, White, Male,50, United-States, <=50K
49, Assoc-voc, Craft-repair, Black, Male,40, United-States, >50K
55, Some-college, Sales, White, Male,56, United-States, <=50K
22, HS-grad, Craft-repair, White, Male,41, United-States, <=50K
21, Some-college, Other-service, White, Female,40, United-States, <=50K
40, Bachelors, Exec-managerial, White, Male,60, United-States, <=50K
30, Bachelors, Exec-managerial, Black, Male,40, Germany, <=50K
29, Bachelors, Prof-specialty, White, Male,50, United-States, >50K
19, Some-college, Other-service, Black, Male,35, United-States, <=50K
47, Bachelors, Exec-managerial, White, Female,40, United-States, >50K
20, Some-college, Adm-clerical, White, Female,28, United-States, <=50K
31, Assoc-acdm, Adm-clerical, White, Male,40, United-States, >50K
39, Some-college, Craft-repair, White, Male,40, United-States, <=50K
28, Assoc-acdm, Sales, White, Female,60, United-States, <=50K
24, HS-grad, Other-service, White, Female,40, United-States, <=50K
38, HS-grad, Craft-repair, White, Male,35, United-States, <=50K
37, Bachelors, Sales, White, Male,50, United-States, <=50K
46, Assoc-acdm, Tech-support, Black, Female,36, United-States, <=50K
38, Masters, Prof-specialty, White, Male,40, Iran, >50K
43, HS-grad, Craft-repair, White, Male,60, United-States, <=50K
27, Assoc-voc, Adm-clerical, White, Female,35, United-States, <=50K
20, Some-college, Sales, White, Male,20, United-States, <=50K
49, Some-college, Craft-repair, Asian-Pac-Islander, Male,40, United-States, >50K
61, HS-grad, Craft-repair, White, Male,40, United-States, <=50K
27, Some-college, Sales, White, Female,40, United-States, <=50K
19, Some-college, Other-service, White, Male,30, Mexico, <=50K
45, Assoc-voc, Prof-specialty, White, Female,40, United-States, >50K
70, Some-college, Tech-support, White, Male,40, United-States, <=50K
31, HS-grad, Transport-moving, Black, Female,30, United-States, <=50K
22, Some-college, Other-service, White, Male,24, United-States, <=50K
36, HS-grad, Other-service, White, Female,24, United-States, <=50K
64, 11th, Craft-repair, White, Male,40, United-States, <=50K
47, Some-college, Adm-clerical, White, Female,38, Mexico, <=50K
34, HS-grad, Adm-clerical, White, Female,40, United-States, <=50K
33, Bachelors, Exec-managerial, Asian-Pac-Islander, Female,40, Philippines, <=50K
21, HS-grad, Craft-repair, White, Male,35, United-States, <=50K
48, HS-grad, Craft-repair, White, Male,46, United-States, <=50K
23, Bachelors, Handlers-cleaners, White, Male,40, United-States, <=50K
71, Some-college, Sales, Black, Male,2, United-States, <=50K
29, HS-grad, Craft-repair, White, Male,60, United-States, <=50K
42, Bachelors, Other-service, Black, Male,50, United-States, <=50K
25, HS-grad, Other-service, White, Female,40, United-States, <=50K
44, Masters, Exec-managerial, Asian-Pac-Islander, Female,40, United-States, <=50K
28, HS-grad, Exec-managerial, Asian-Pac-Islander, Female,40, England, <=50K
45, Masters, Sales, White, Male,40, United-States, >50K
36, Some-college, Other-service, White, Female,40, Mexico, <=50K
39, Assoc-acdm, Exec-managerial, White, Male,42, United-States, <=50K
46, Masters, Protective-serv, White, Male,40, United-States, <=50K
18, 11th, Handlers-cleaners, White, Male,16, United-States, <=50K
66, Assoc-voc, Prof-specialty, White, Female,20, United-States, <=50K
27, HS-grad, Other-service, White, Male,40, United-States, <=50K
28, HS-grad, Protective-serv, White, Male,40, United-States, <=50K
51, Some-college, Sales, White, Male,40, United-States, >50K
27, Bachelors, Craft-repair, White, Male,50, United-States, <=50K
28, Bachelors, Prof-specialty, White, Male,40, United-States, >50K
27, HS-grad, Sales, White, Female,25, United-States, <=50K
21, HS-grad, Craft-repair, Black, Male,40, United-States, <=50K
34, HS-grad, Handlers-cleaners, Black, Male,40, United-States, <=50K
18, HS-grad, Other-service, White, Male,12, United-States, <=50K
33, Bachelors, Prof-specialty, White, Male,65, United-States, <=50K
44, Some-college, Exec-managerial, Black, Male,38, United-States, >50K
43, Some-college, Adm-clerical, White, Female,40, United-States, <=50K
30, Some-college, Craft-repair, Black, Male,45, United-States, <=50K
40, 7th-8th, Machine-op-inspct, White, Male,40, Mexico, >50K
37, Some-college, Adm-clerical, White, Male,42, United-States, >50K
34, HS-grad, Adm-clerical, Black, Male,40, United-States, <=50K
41, Bachelors, Exec-managerial, White, Female,40, United-States, <=50K
31, Masters, Prof-specialty, White, Female,50, United-States, <=50K
58, Doctorate, Prof-specialty, White, Male,1, United-States, >50K
38, Some-college, Machine-op-inspct, Black, Female,28, United-States, <=50K
24, Some-college, Machine-op-inspct, White, Male,40, United-States, <=50K
41, Bachelors, Craft-repair, Black, Male,40, United-States, <=50K
47, Some-college, Tech-support, White, Male,45, United-States, <=50K
41, Bachelors, Tech-support, White, Male,24, United-States, <=50K
23, 5th-6th, Transport-moving, White, Male,40, Mexico, <=50K
36, Some-college, Craft-repair, White, Male,40, United-States, <=50K
40, Masters, Exec-managerial, White, Female,55, United-States, >50K
35, Masters, Prof-specialty, White, Male,40, United-States, >50K
24, HS-grad, Sales, White, Male,40, United-States, <=50K
26, Masters, Prof-specialty, White, Female,40, United-States, <=50K
51, Bachelors, Exec-managerial, White, Male,50, United-States, >50K
42, Some-college, Prof-specialty, White, Female,40, United-States, <=50K
37, HS-grad, Adm-clerical, White, Female,35, United-States, <=50K
18, 11th, Sales, White, Female,40, United-States, <=50K
36, Bachelors, Other-service, Black, Male,36, United-States, >50K
35, HS-grad, Craft-repair, White, Male,60, United-States, <=50K
58, HS-grad, Sales, White, Female,35, United-States, >50K
17, 11th, Sales, White, Female,12, United-States, <=50K
44, HS-grad, Transport-moving, Black, Male,40, United-States, <=50K
37, HS-grad, Craft-repair, White, Male,40, United-States, >50K
35, Some-college, Sales, Amer-Indian-Eskimo, Female,40, United-States, <=50K
60, HS-grad, Craft-repair, Asian-Pac-Islander, Male,40, United-States, <=50K
54, 7th-8th, Machine-op-inspct, White, Male,40, United-States, >50K
37, Bachelors, Exec-managerial, Black, Male,60, United-States, >50K
50, Assoc-acdm, Sales, White, Female,40, United-States, <=50K
38, Bachelors, Sales, White, Male,50, Poland, <=50K
45, Bachelors, Prof-specialty, White, Male,55, United-States, <=50K
25, 10th, Craft-repair, White, Male,40, United-States, <=50K
31, Some-college, Handlers-cleaners, White, Male,40, United-States, <=50K
90, HS-grad, Other-service, Black, Male,40, United-States, <=50K
54, HS-grad, Adm-clerical, Black, Male,20, United-States, <=50K
53, Preschool, Machine-op-inspct, White, Female,35, United-States, <=50K
18, HS-grad, Sales, White, Female,40, United-States, <=50K
66, HS-grad, Farming-fishing, White, Male,50, United-States, <=50K
75, Assoc-voc, Adm-clerical, White, Female,20, Columbia, <=50K
65, HS-grad, Adm-clerical, White, Female,40, United-States, <=50K
35, 11th, Transport-moving, Black, Male,40, United-States, <=50K
41, HS-grad, Sales, Black, Female,38, United-States, <=50K
25, Some-college, Adm-clerical, White, Male,42, United-States, <=50K
33, Some-college, Craft-repair, Other, Female,40, United-States, <=50K
28, Prof-school, Prof-specialty, White, Male,55, United-States, >50K
59, HS-grad, Other-service, White, Male,40, United-States, <=50K
40, Some-college, Adm-clerical, White, Female,38, United-States, <=50K
41, Bachelors, Exec-managerial, White, Male,50, Iran, >50K
38, Masters, Exec-managerial, White, Male,70, United-States, >50K
23, HS-grad, Transport-moving, White, Male,40, United-States, <=50K
40, Bachelors, Prof-specialty, White, Male,40, United-States, >50K
41, HS-grad, Other-service, White, Female,20, United-States, <=50K
24, Assoc-acdm, Protective-serv, White, Male,50, United-States, <=50K
38, Some-college, Craft-repair, White, Male,40, United-States, <=50K
58, HS-grad, Adm-clerical, White, Male,45, United-States, >50K
32, HS-grad, Other-service, White, Female,34, United-States, <=50K
40, Assoc-acdm, Tech-support, White, Male,60, United-States, >50K
41, Prof-school, Prof-specialty, White, Female,40, United-States, >50K
42, Bachelors, Adm-clerical, Black, Female,40, United-States, <=50K
59, 10th, Other-service, Black, Female,30, United-States, <=50K
19, Some-college, Adm-clerical, White, Male,40, United-States, <=50K
58, Some-college, Transport-moving, White, Male,20, United-States, <=50K
42, HS-grad, Farming-fishing, Asian-Pac-Islander, Male,40, Cambodia, >50K
20, HS-grad, Other-service, White, Female,40, United-States, <=50K
32, HS-grad, Other-service, White, Female,30, United-States, <=50K
45, Assoc-voc, Exec-managerial, White, Female,45, United-States, <=50K
50, 7th-8th, Craft-repair, White, Male,40, United-States, <=50K
36, Bachelors, Prof-specialty, White, Female,40, United-States, <=50K
45, HS-grad, Sales, White, Male,60, United-States, <=50K
17, 11th, Other-service, White, Male,12, United-States, <=50K
59, Some-college, Sales, White, Male,40, United-States, <=50K
26, 11th, Craft-repair, White, Male,40, United-States, <=50K
37, Some-college, Exec-managerial, Asian-Pac-Islander, Male,75, Thailand, >50K
64, HS-grad, Exec-managerial, White, Male,40, United-States, >50K
33, Bachelors, Prof-specialty, White, Female,45, United-States, <=50K
33, HS-grad, Craft-repair, White, Female,40, United-States, >50K
61, HS-grad, Exec-managerial, White, Male,40, United-States, >50K
17, 9th, Other-service, White, Male,24, United-States, <=50K
50, Masters, Farming-fishing, White, Male,98, United-States, <=50K
27, Masters, Prof-specialty, White, Male,35, United-States, <=50K
30, HS-grad, Prof-specialty, White, Female,40, United-States, <=50K
43, HS-grad, Handlers-cleaners, Black, Male,40, United-States, <=50K
44, Some-college, Craft-repair, White, Male,40, United-States, >50K
35, Some-college, Exec-managerial, White, Female,40, United-States, <=50K
25, Some-college, Tech-support, White, Female,40, United-States, <=50K
24, Some-college, Machine-op-inspct, White, Female,48, United-States, >50K
22, Bachelors, Prof-specialty, White, Female,15, Germany, <=50K
42, Some-college, Craft-repair, White, Male,40, United-States, >50K
34, Assoc-acdm, Sales, Black, Female,45, United-States, <=50K
60, Bachelors, Prof-specialty, White, Female,42, United-States, <=50K
21, HS-grad, Handlers-cleaners, White, Male,40, United-States, <=50K
57, Masters, Sales, White, Male,40, United-States, >50K
41, Prof-school, Prof-specialty, White, Male,60, United-States, >50K
50, Some-college, Other-service, White, Male,45, United-States, <=50K
25, Bachelors, Exec-managerial, White, Female,40, United-States, <=50K
50, 7th-8th, Craft-repair, White, Male,40, Ecuador, <=50K
36, Bachelors, Prof-specialty, White, Male,45, United-States, <=50K
31, HS-grad, Prof-specialty, White, Female,40, United-States, <=50K
29, Bachelors, Protective-serv, White, Male,56, United-States, <=50K
21, Some-college, Sales, White, Male,45, United-States, <=50K
27, Bachelors, Tech-support, Black, Female,40, United-States, <=50K
65, HS-grad, Transport-moving, White, Male,16, United-States, <=50K
37, Bachelors, Sales, White, Female,60, United-States, <=50K
24, HS-grad, Craft-repair, White, Male,40, United-States, <=50K
38, HS-grad, Sales, White, Male,80, United-States, <=50K
48, Bachelors, Adm-clerical, White, Male,40, United-States, >50K
21, Some-college, Other-service, Asian-Pac-Islander, Female,25, United-States, <=50K
31, HS-grad, Transport-moving, White, Male,45, United-States, >50K
55, HS-grad, Sales, White, Male,40, United-States, >50K
24, Some-college, Adm-clerical, Asian-Pac-Islander, Female,40, Laos, <=50K
43, HS-grad, Adm-clerical, White, Female,40, United-States, <=50K
26, Assoc-acdm, Tech-support, White, Male,45, United-States, <=50K
46, Assoc-acdm, Prof-specialty, White, Female,33, United-States, <=50K
35, Assoc-acdm, Adm-clerical, White, Male,40, United-States, >50K
41, Some-college, Farming-fishing, White, Male,54, United-States, >50K
26, Bachelors, Sales, White, Male,40, United-States, <=50K
34, Masters, Exec-managerial, Asian-Pac-Islander, Male,35, Taiwan, >50K
36, Bachelors, Prof-specialty, Black, Female,40, United-States, >50K
22, Some-college, Sales, White, Male,15, United-States, <=50K
24, Some-college, Machine-op-inspct, White, Male,40, United-States, <=50K
77, Some-college, Sales, White, Male,40, United-States, <=50K
22, 5th-6th, Machine-op-inspct, White, Female,40, Mexico, <=50K
29, Some-college, Tech-support, White, Female,40, United-States, <=50K
62, HS-grad, Other-service, White, Female,24, United-States, <=50K
39, HS-grad, Exec-managerial, White, Male,40, United-States, <=50K
43, Some-college, Craft-repair, White, Male,50, United-States, <=50K
35, HS-grad, Transport-moving, White, Male,45, United-States, <=50K
29, 11th, Exec-managerial, White, Female,40, United-States, <=50K
76, Masters, Craft-repair, White, Male,10, United-States, <=50K
63, HS-grad, Farming-fishing, White, Male,45, United-States, <=50K
43, Some-college, Prof-specialty, White, Female,50, United-States, >50K
58, HS-grad, Handlers-cleaners, White, Male,40, United-States, <=50K
66, HS-grad, Transport-moving, White, Male,55, United-States, <=50K
41, Some-college, Craft-repair, Black, Male,45, United-States, <=50K
26, Bachelors, Adm-clerical, White, Male,40, United-States, <=50K
47, Assoc-voc, Other-service, White, Male,40, United-States, <=50K
55, 10th, Adm-clerical, White, Male,40, United-States, <=50K
53, HS-grad, Transport-moving, White, Male,40, United-States, <=50K
17, 5th-6th, Other-service, White, Male,48, Mexico, <=50K
30, HS-grad, Craft-repair, White, Male,40, United-States, <=50K
49, Masters, Prof-specialty, White, Male,60, United-States, <=50K
19, HS-grad, Sales, Black, Male,30, Haiti, <=50K
45, HS-grad, Other-service, Black, Male,40, United-States, <=50K
26, Assoc-acdm, Sales, White, Male,40, United-States, <=50K
38, Assoc-voc, Craft-repair, White, Male,40, United-States, >50K
36, HS-grad, Protective-serv, White, Male,40, United-States, >50K
33, HS-grad, Farming-fishing, White, Male,20, United-States, <=50K
22, Some-college, Protective-serv, Black, Female,40, United-States, <=50K
43, Bachelors, Sales, White, Male,42, United-States, <=50K
56, Assoc-acdm, Other-service, White, Male,25, Iran, <=50K
31, Bachelors, Prof-specialty, White, Male,25, United-States, <=50K
33, Bachelors, Exec-managerial, White, Male,40, United-States, >50K
26, HS-grad, Other-service, White, Male,40, United-States, <=50K
33, Bachelors, Exec-managerial, White, Male,40, United-States, >50K
46, 11th, Transport-moving, White, Male,30, United-States, <=50K
38, HS-grad, Adm-clerical, White, Male,40, United-States, >50K
65, 11th, Other-service, Other, Male,40, United-States, <=50K
40, Assoc-voc, Tech-support, White, Male,40, United-States, >50K
42, HS-grad, Adm-clerical, White, Female,35, United-States, <=50K
26, 9th, Craft-repair, White, Male,40, Portugal, <=50K
36, 10th, Other-service, White, Female,24, United-States, <=50K
62, Masters, Prof-specialty, White, Male,40, United-States, >50K
43, Bachelors, Transport-moving, White, Male,45, United-States, <=50K
43, Bachelors, Exec-managerial, White, Male,45, United-States, >50K
22, HS-grad, Sales, White, Male,55, United-States, <=50K
28, HS-grad, Craft-repair, White, Male,40, United-States, <=50K
56, Some-college, Sales, White, Male,45, United-States, <=50K
22, Assoc-acdm, Sales, White, Female,15, United-States, <=50K
57, Bachelors, Exec-managerial, White, Female,45, United-States, >50K
39, HS-grad, Sales, White, Female,40, United-States, <=50K
26, Some-college, Adm-clerical, White, Female,15, United-States, <=50K
17, 11th, Other-service, White, Male,10, United-States, <=50K
40, Assoc-voc, Machine-op-inspct, White, Male,38, United-States, >50K
45, HS-grad, Machine-op-inspct, Black, Male,40, United-States, <=50K
44, HS-grad, Craft-repair, Black, Male,40, United-States, <=50K
20, Some-college, Adm-clerical, White, Female,10, United-States, <=50K
33, HS-grad, Craft-repair, White, Female,40, United-States, <=50K
23, Some-college, Sales, White, Male,40, United-States, <=50K
46, Masters, Exec-managerial, White, Male,30, United-States, <=50K
38, HS-grad, Sales, White, Male,50, United-States, <=50K
54, HS-grad, Transport-moving, White, Male,40, United-States, <=50K
46, 5th-6th, Craft-repair, White, Female,45, United-States, <=50K
25, Some-college, Craft-repair, White, Male,40, United-States, <=50K
46, Some-college, Sales, White, Female,40, United-States, <=50K
36, Some-college, Transport-moving, White, Female,40, United-States, <=50K
23, HS-grad, Other-service, White, Female,25, United-States, <=50K
29, HS-grad, Machine-op-inspct, White, Male,40, United-States, <=50K
44, Some-college, Adm-clerical, White, Female,6, United-States, >50K
19, Some-college, Adm-clerical, White, Female,16, United-States, <=50K
19, HS-grad, Other-service, White, Female,40, United-States, <=50K
35, HS-grad, Other-service, White, Female,40, United-States, >50K
27, Bachelors, Craft-repair, White, Male,50, United-States, <=50K
46, Assoc-acdm, Craft-repair, White, Male,40, United-States, <=50K
34, HS-grad, Other-service, White, Female,35, United-States, <=50K
44, Some-college, Tech-support, White, Male,40, United-States, <=50K
45, Some-college, Handlers-cleaners, White, Female,40, United-States, <=50K
25, Bachelors, Exec-managerial, White, Male,55, United-States, >50K
52, Bachelors, Exec-managerial, White, Male,50, United-States, >50K
20, Some-college, Handlers-cleaners, White, Male,40, United-States, <=50K
28, Some-college, Other-service, White, Female,40, United-States, <=50K
50, Bachelors, Protective-serv, White, Male,40, United-States, >50K
34, Assoc-voc, Tech-support, White, Female,64, United-States, <=50K
28, 7th-8th, Handlers-cleaners, Other, Male,40, Puerto-Rico, <=50K
41, Masters, Exec-managerial, White, Male,65, United-States, >50K
28, HS-grad, Adm-clerical, White, Male,40, United-States, <=50K
46, HS-grad, Craft-repair, White, Male,25, United-States, <=50K
32, Some-college, Exec-managerial, White, Male,50, United-States, <=50K
41, Some-college, Other-service, Black, Female,24, United-States, <=50K
24, HS-grad, Handlers-cleaners, Black, Female,40, United-States, <=50K
33, Some-college, Exec-managerial, White, Female,40, United-States, <=50K
46, Doctorate, Exec-managerial, White, Male,60, United-States, >50K
31, Some-college, Machine-op-inspct, White, Male,40, United-States, <=50K
35, 12th, Craft-repair, White, Male,50, United-States, >50K
52, 1st-4th, Machine-op-inspct, White, Male,40, Mexico, <=50K
30, 11th, Other-service, White, Female,19, United-States, <=50K
34, 11th, Machine-op-inspct, Black, Male,40, United-States, <=50K
34, HS-grad, Transport-moving, White, Female,40, United-States, <=50K
20, Some-college, Sales, White, Male,30, United-States, <=50K
17, 11th, Handlers-cleaners, White, Male,18, United-States, <=50K
32, Bachelors, Exec-managerial, White, Female,40, United-States, >50K
29, HS-grad, Farming-fishing, White, Male,40, United-States, <=50K
33, 10th, Craft-repair, White, Female,35, United-States, <=50K
25, HS-grad, Transport-moving, White, Male,60, United-States, <=50K
36, Masters, Prof-specialty, White, Male,40, United-States, <=50K
23, HS-grad, Handlers-cleaners, White, Male,72, Dominican-Republic, <=50K
63, HS-grad, Exec-managerial, White, Male,40, United-States, >50K
47, Masters, Prof-specialty, White, Male,40, United-States, <=50K
40, Bachelors, Prof-specialty, White, Female,40, United-States, <=50K
30, Assoc-acdm, Other-service, White, Female,25, United-States, >50K
27, Some-college, Craft-repair, Asian-Pac-Islander, Male,40, Philippines, <=50K
33, Masters, Prof-specialty, White, Male,50, United-States, >50K
34, HS-grad, Farming-fishing, Black, Male,60, United-States, <=50K
34, Some-college, Protective-serv, White, Female,40, United-States, <=50K
23, Some-college, Adm-clerical, White, Male,40, United-States, <=50K
42, Some-college, Adm-clerical, White, Female,40, United-States, <=50K
29, Bachelors, Prof-specialty, White, Male,40, United-States, <=50K
45, HS-grad, Adm-clerical, White, Female,28, United-States, <=50K
24, HS-grad, Armed-Forces, White, Male,40, United-States, <=50K
44, Some-college, Prof-specialty, White, Male,40, United-States, >50K
27, 9th, Craft-repair, White, Male,40, Mexico, <=50K
20, Some-college, Sales, White, Male,35, United-States, <=50K
44, HS-grad, Exec-managerial, Black, Female,40, United-States, <=50K
51, HS-grad, Craft-repair, Amer-Indian-Eskimo, Male,40, United-States, <=50K
20, HS-grad, Machine-op-inspct, White, Male,40, United-States, <=50K
19, HS-grad, Machine-op-inspct, Black, Female,40, United-States, <=50K
45, Some-college, Craft-repair, White, Male,55, United-States, >50K
60, HS-grad, Craft-repair, White, Male,40, United-States, >50K
44, HS-grad, Sales, White, Female,40, United-States, >50K
40, Assoc-voc, Machine-op-inspct, Asian-Pac-Islander, Male,40, United-States, >50K
30, HS-grad, Exec-managerial, White, Female,40, United-States, <=50K
38, Some-college, Transport-moving, Black, Male,50, United-States, <=50K
23, HS-grad, Transport-moving, White, Male,60, United-States, <=50K
44, Assoc-acdm, Farming-fishing, White, Male,40, United-States, <=50K
54, HS-grad, Transport-moving, Black, Male,40, United-States, <=50K
32, Bachelors, Prof-specialty, White, Male,50, United-States, <=50K
50, 1st-4th, Craft-repair, White, Male,40, United-States, <=50K
24, Bachelors, Tech-support, White, Female,20, United-States, <=50K
37, HS-grad, Adm-clerical, White, Female,60, United-States, <=50K
52, HS-grad, Transport-moving, White, Male,40, United-States, <=50K
38, Some-college, Transport-moving, White, Male,40, United-States, <=50K
49, Masters, Exec-managerial, White, Male,45, United-States, >50K
30, Bachelors, Tech-support, White, Female,16, United-States, >50K
60, Some-college, Prof-specialty, White, Male,40, United-States, >50K
35, HS-grad, Craft-repair, White, Male,40, United-States, <=50K
30, HS-grad, Transport-moving, White, Male,60, United-States, <=50K
67, Assoc-voc, Other-service, White, Female,24, United-States, <=50K
46, Bachelors, Craft-repair, White, Female,40, United-States, <=50K
17, 9th, Other-service, White, Male,6, United-States, <=50K
22, Some-college, Handlers-cleaners, White, Male,30, United-States, <=50K
27, 10th, Other-service, White, Male,40, United-States, <=50K
23, HS-grad, Other-service, White, Female,35, United-States, <=50K
33, Assoc-acdm, Craft-repair, White, Male,45, Portugal, <=50K
43, Some-college, Craft-repair, White, Male,20, United-States, <=50K
28, Bachelors, Prof-specialty, White, Male,20, United-States, <=50K
